法人番号,法人名,郵便番号,本社所在地,資本金,従業員数,設立年月日,創業年,最終更新日
7010701026996,ケーエムテック株式会社,1420051.0,東京都品川区平塚３丁目４番２１号コーポラストーハイ１０１,,,2012-09-03,,2023-02-03 00:00:00+09:00
5010401101688,アメンタムジャパン株式会社,1050002.0,東京都港区愛宕１丁目３番４号,,,2012-09-03,,2024-10-24 00:00:00+09:00
4013401006866,株式会社イオ,1910065.0,東京都日野市旭が丘４丁目７番地１０７,,,2012-09-03,,2018-12-26 00:00:00+09:00
7011501017954,インターフェース株式会社,1740073.0,東京都板橋区東山町２２番１５号,,,2012-09-03,,2023-06-20 00:00:00+09:00
2140001088234,アシックスジャパン株式会社,1000005.0,東京都千代田区丸の内２丁目７番２号,,1482.0,2012-09-03,,2025-05-12 00:00:00+09:00
4010001148932,株式会社近畿日本ツーリストブループラネット,1350051.0,東京都江東区枝川１丁目９番４号,,82.0,2012-09-03,,2023-05-08 00:00:00+09:00
3010401101715,ダブルスティール株式会社,1070062.0,東京都港区南青山３丁目１番３６号青山丸竹ビル６階,,,2012-09-04,,2023-01-12 00:00:00+09:00
9011101064379,ＴＳＰコンサルティング株式会社,1700013.0,東京都豊島区東池袋１丁目３６番３号,,,2012-09-04,,2018-04-03 00:00:00+09:00
3010001149023,Ｌｉｂｒａｒｙ　Ｃｏｎｔｅｎｔｓ　Ｓｅｒｖｉｃｅ株式会社,1010035.0,東京都千代田区神田紺屋町２０番地１,,,2012-09-05,,2018-11-19 00:00:00+09:00
6010401101761,株式会社ｃｕａｔｒｏ　ｐｉｓｔａｓ,1050014.0,東京都港区芝２丁目２９番１１号,,,2012-09-07,,2020-09-23 00:00:00+09:00
5011001091576,株式会社ＡＢＥＪＡ,1080073.0,東京都港区三田１丁目１番１４号,832282000.0,98.0,2012-09-10,,2022-09-09 00:00:00+09:00
3010901031016,株式会社アビオエムシー,1540012.0,東京都世田谷区駒沢２丁目２５番１０号ソフィー駒沢Ｂ１,,,2012-09-13,,2015-10-28 00:00:00+09:00
4010601043384,ＰＣＩソリューションズ株式会社,1050001.0,東京都港区虎ノ門１丁目２１番１９号,,978.0,2012-09-19,,2022-11-07 00:00:00+09:00
3010003017756,合同会社労務トラスト,1050021.0,東京都港区東新橋１丁目９番１号,,,2012-09-20,,2023-02-27 00:00:00+09:00
5010501034417,株式会社アドバンテージ,1100005.0,東京都台東区上野３丁目１４−２,,,2012-09-20,,2021-02-25 00:00:00+09:00
5011301018915,アイスタイル株式会社,1050014.0,東京都港区芝２丁目２９−９グランバリュー三田３Ｆ,,,2012-09-20,,2020-06-03 00:00:00+09:00
4012701011700,株式会社ウォーク,1890012.0,東京都東村山市萩山町１丁目２２番地１−１０２号,,,2012-09-21,,2019-01-18 00:00:00+09:00
7030001094370,株式会社アメニティテクノ,1600015.0,東京都新宿区大京町６番地麗水四谷マンション１０３号,,,2012-09-25,,2022-03-28 00:00:00+09:00
5011001091816,株式会社タンジェント,1500042.0,東京都渋谷区宇田川町２−１渋谷ホームズ６０８,,,2012-09-27,,2024-09-18 00:00:00+09:00
4010701027080,エコモーション株式会社,1400013.0,東京都品川区南大井６丁目２６番３号大森ベルポートＤ館９階,,,2012-09-27,,2021-07-28 00:00:00+09:00
1011401016632,株式会社システムフリージア,1010025.0,東京都千代田区神田佐久間町１丁目８番２号第一阿部ビル,,,2012-09-28,,2020-03-24 00:00:00+09:00
8010701027085,株式会社総合管理ファシリティズ,1410021.0,東京都品川区上大崎２丁目１８番２５号,,,2012-10-01,,2018-05-30 00:00:00+09:00
4011001091858,株式会社サンブリッジ,1500022.0,東京都渋谷区恵比寿南１丁目５番５号,,,2012-10-01,,2018-04-17 00:00:00+09:00
5010601043417,株式会社東光高岳,1350061.0,東京都江東区豊洲５丁目６番３６号,8000000000.0,2279.0,2012-10-01,,2021-10-20 00:00:00+09:00
1011001091885,株式会社スカーレット,1510051.0,東京都渋谷区千駄ヶ谷３丁目４番２号エテルノ原宿,,,2012-10-01,,2022-03-08 00:00:00+09:00
6010701027087,アストマックス株式会社,1410022.0,東京都品川区東五反田２丁目１０番２号,2013545000.0,,2012-10-01,,2025-07-22 00:00:00+09:00
3011001091891,株式会社エナジード,1600015.0,東京都新宿区大京町２２番地１,,,2012-10-01,,2019-09-11 00:00:00+09:00
6011001091880,株式会社ｅｃｂｅｉｎｇ,1500002.0,東京都渋谷区渋谷２丁目１５番１号,,490.0,2012-10-01,,2018-07-18 00:00:00+09:00
1011101064634,日本リージャス株式会社,1600023.0,東京都新宿区西新宿３丁目７番１号新宿パークタワー３０階,,,2012-10-01,,2024-09-17 00:00:00+09:00
2011001091851,株式会社ＬＩＢＲＥＲＩＡ,1520034.0,東京都目黒区緑が丘２丁目１２番３号,,,2012-10-01,,2024-10-15 00:00:00+09:00
2011101064633,株式会社ａｉ‐ｈｅａｌｔｈ,1050001.0,東京都港区虎ノ門４丁目１−１神谷町トラストタワー２３階,,,2012-10-01,,2024-07-01 00:00:00+09:00
7011301018938,株式会社エングラフィア,1010061.0,東京都千代田区神田三崎町２丁目１０番１０号,,25.0,2012-10-01,,2021-06-08 00:00:00+09:00
5011001091881,株式会社ソフトクリエイト,1500002.0,東京都渋谷区渋谷２丁目１５番１号,,303.0,2012-10-01,,2018-07-12 00:00:00+09:00
7011001091855,ＭｅＲＩＳＥ株式会社,1600023.0,東京都新宿区西新宿７丁目２番６号西新宿Ｋ−１ビル４階,,58.0,2012-10-01,,2025-03-05 00:00:00+09:00
5010001149426,株式会社リクルート,1000005.0,東京都千代田区丸の内１丁目９番２号,,16718.0,2012-10-01,,2024-04-19 00:00:00+09:00
7011601017895,株式会社マイト,1140002.0,東京都北区王子２丁目１５−１０−１階,,,2012-10-01,,2019-05-08 00:00:00+09:00
4011501019920,株式会社Ｙ’ｓエステート,1160012.0,東京都荒川区東尾久３丁目３６番７号,,,2012-10-01,,2024-10-18 00:00:00+09:00
7012401023381,オフィスイシイ株式会社,1850035.0,東京都国分寺市西町２丁目８番地２２,,,2012-10-01,,2015-10-30 00:00:00+09:00
7011001091938,プライムナンバーズ株式会社,1600023.0,東京都新宿区西新宿６丁目２２番１号,,,2012-10-03,,2024-03-04 00:00:00+09:00
3010001149650,バーズ・ビュー株式会社,1130033.0,東京都文京区本郷４丁目５番１０号,,8.0,2012-10-10,,2019-02-19 00:00:00+09:00
2010403009949,ＫＫＣｏｍｐａｎｙ　Ｊａｐａｎ合同会社,1500031.0,東京都渋谷区桜丘町１番１号渋谷サクラステージＳＨＩＢＵＹＡタワー３３階,,,2012-10-10,,2024-08-21 00:00:00+09:00
5010401102307,株式会社タイヨータウンコーポレーション,1060043.0,東京都港区麻布永坂町１番地麻布パークサイドビル１Ｆ,,,2012-10-11,,2021-11-19 00:00:00+09:00
5011101064770,株式会社誠勝,1620055.0,東京都新宿区余丁町７番１号,,,2012-10-12,,2018-04-19 00:00:00+09:00
3011001092056,株式会社ＮＯＤＥ,1500011.0,東京都渋谷区東２丁目１９番１１号,,,2012-10-15,,2024-04-15 00:00:00+09:00
2011101064773,株式会社ジーエスエフ,1600023.0,東京都新宿区西新宿３丁目２０番２号,,3760.0,2012-10-15,,2018-07-09 00:00:00+09:00
5011101064787,株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,1130033.0,東京都文京区本郷２丁目３５番１０号本郷瀬川ビル４Ｆ,10000000.0,100.0,2012-10-16,,2018-05-08 00:00:00+09:00
2010001032072,リーテック株式会社,1010032.0,東京都千代田区岩本町２丁目１番１８号,,,2012-10-17,,2025-05-07 00:00:00+09:00
9430001062533,株式会社フェリクシード,1030023.0,東京都中央区日本橋本町４丁目１３番６号,,,2012-10-18,,2022-10-26 00:00:00+09:00
5010501034532,株式会社アップワード,1100015.0,東京都台東区東上野１丁目６−２東陽ビル６階,,,2012-10-22,,2022-09-28 00:00:00+09:00
6011401016677,株式会社シムフルイド,1740064.0,東京都板橋区中台１丁目３０番１５号,,,2012-10-22,,2015-10-28 00:00:00+09:00
9010001149876,ＴＲＣ−ＡＤＥＡＣ株式会社,1120012.0,東京都文京区大塚３丁目１番１号,,,2012-10-23,,2018-05-11 00:00:00+09:00
4010003017854,合同会社山川電波科学研究所,1120012.0,東京都文京区大塚３丁目８番５−６０１号,,,2012-10-29,,2024-02-16 00:00:00+09:00
8011601017969,イースリー・デザイン株式会社,1770052.0,東京都練馬区関町東１丁目３番２２号,,,2012-11-01,,2022-12-23 00:00:00+09:00
9010401102609,株式会社ＥＮＳＯＵ,1350016.0,東京都江東区東陽２丁目４−３９新東陽ビル４階,,,2012-11-01,,2018-10-24 00:00:00+09:00
1010001150008,国際興業株式会社,1040028.0,東京都中央区八重洲２丁目１０番３号,,2300.0,2012-11-01,,2018-07-31 00:00:00+09:00
7010001150027,株式会社ＴＫテクノサービス,1010051.0,東京都千代田区神田神保町２丁目１７番地,,163.0,2012-11-01,,2024-05-08 00:00:00+09:00
5010001150061,サークレイス株式会社,1030027.0,東京都中央区日本橋２丁目１番３号,408033000.0,259.0,2012-11-01,,2025-05-27 00:00:00+09:00
7011301019036,株式会社ラフルール,1510053.0,東京都渋谷区代々木１丁目３７番１８号ＤＣヤハギビル２階,,5.0,2012-11-02,,2019-02-25 00:00:00+09:00
4010001150203,株式会社インデクシング,1040032.0,東京都中央区八丁堀４丁目１４番７号,,,2012-11-09,,2015-10-26 00:00:00+09:00
8011001092431,株式会社ビズワークステクノロジー,1500036.0,東京都渋谷区南平台町１５番１０号,,,2012-11-13,,2018-06-25 00:00:00+09:00
8013301032991,ユウソリューションズ株式会社,1710022.0,東京都豊島区南池袋２丁目２８番１４号大和証券池袋ビル８階,,,2012-11-15,,2021-02-16 00:00:00+09:00
8010401102849,ＣＪ　ＰＡＲＴＮＥＲＳ株式会社,1500012.0,東京都渋谷区広尾５丁目２２−３広尾西川ビル３階,,,2012-11-15,,2023-11-07 00:00:00+09:00
2010001150287,丸凡保険サービス株式会社,1030023.0,東京都中央区日本橋本町２丁目３番６号協同ビル５０２号,,,2012-11-15,,2023-03-02 00:00:00+09:00
8011001092489,株式会社みつばモビリティ,1080073.0,東京都港区三田３丁目５番１９号住友不動産東京三田ガーデンタワー,,1564.0,2012-11-15,,2025-04-24 00:00:00+09:00
6011001092458,エンサイス株式会社,1500002.0,東京都渋谷区渋谷１丁目２番５号ＭＦＰＲ渋谷ビル６Ｆ,,,2012-11-15,,2018-10-11 00:00:00+09:00
3010003017921,合同会社ＧＢＳ,1130034.0,東京都文京区湯島４丁目６番１２号,,,2012-11-15,,2019-04-08 00:00:00+09:00
9013301032990,株式会社やまとごころ,1600022.0,東京都新宿区新宿２丁目９番２２号３階,,,2012-11-15,,2020-11-06 00:00:00+09:00
1010401102863,株式会社医師のとも,1500043.0,東京都渋谷区道玄坂２丁目１６番４号,,,2012-11-16,,2019-03-27 00:00:00+09:00
2011301019065,株式会社Ｕｎｉｏｎ,1600022.0,東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー２２階,,,2012-11-16,,2024-05-24 00:00:00+09:00
